Slider,x,first,second
1980,'Kuwait',23.153412,0.0
1980,'Netherlands',352.628199,0.0
1980,'New Zealand',0.0,11.703716
1980,'Norway',41.738095,43.725131
1980,'Poland',0.0,75.000451
1980,'Portugal',0.0,4.13616
1980,'Romania',0.0,44.381441
1980,'Saudi Arabia',112.421249,120.375527
1980,'Spain',0.0,285.026867
1980,'Sweden',10.679246,35.282669
1980,'Switzerland',10.028652,0.0
1980,'Taiwan',0.0,374.058844
1980,'Thailand',0.0,902.852253
1980,'United Arab Emirates',0.0,0.174742
1980,'United Kingdom',567.31147,399.202551
1980,'United States',6864.224034,0.0
1981,'Australia',18.425831,747.648005
1981,'Austria',53.422527,0.163916
1981,'Belgium',61.917902,36.477733
1981,'Brazil',0.0,1019.510084
1981,'Canada',546.970726,2540.405789
1981,'Chile',0.0,24.802202
1981,'Colombia',0.0,176.100059
1981,'Cyprus',0.0,110.234644
1981,'Denmark',215.721283,0.0
1981,'France',277.458713,120.922782
1981,'Germany',751.727169,0.0
1981,'Greece',0.0,26.046686
1981,'India',0.0,3706.661088
1981,'Ireland',0.0,58.605044
1981,'Italy',0.0,3.585196
1981,'Japan',2935.257275,446.92076
1981,'Korea',0.0,1656.173571
1981,'Kuwait',298.564124,0.078425
1981,'Liechtenstein',0.199326,18.26437
1981,'Netherlands',270.695825,0.0
1981,'New Zealand',0.752775,0.0
1981,'Norway',51.124921,130.936843
1981,'Poland',0.0,0.03541
1981,'Portugal',0.0,144.76531
1981,'Romania',0.0,262.077414
1981,'Saudi Arabia',131.496682,409.548081
1981,'Spain',0.0,199.457361
1981,'Sweden',151.539023,24.474486
1981,'Switzerland',18.045799,0.0
1981,'Taiwan',0.0,312.886996
1981,'Thailand',0.0,1178.204797
1981,'United Arab Emirates',0.0,1.813286
1981,'United Kingdom',7.198102,558.141413
1981,'United States',8124.423748,0.0
1982,'Australia',10.458375,2.59945
1982,'Austria',0.272169,58.590672
1982,'Brazil',0.0,577.695039
1982,'Canada',87.937147,170.174807
1982,'Chile',0.0,25.718071
1982,'Colombia',0.0,1228.919949
1982,'Cyprus',0.0,31.348629
1982,'Denmark',122.090821,0.0
1982,'France',446.54374,0.0
1982,'Germany',853.843929,0.0
1982,'India',0.0,2822.105457
1982,'Italy',0.0,0.663971
1982,'Japan',1471.338041,0.0
1982,'Korea',0.0,216.083049
1982,'Kuwait',181.627819,0.0
1982,'Liechtenstein',0.734297,0.0
1982,'Netherlands',163.308875,0.0
1982,'New Zealand',0.572352,213.884594
1982,'Norway',110.623404,63.586018
1982,'Poland',0.0,0.070326
1982,'Saudi Arabia',0.0,197.083911
1982,'Spain',0.0,77.22758
1982,'Sweden',147.903816,0.0
1982,'Switzerland',63.684924,0.0
1982,'Taiwan',0.0,617.069786
1982,'Thailand',0.0,1595.007194
1982,'United Arab Emirates',0.0,0.936588
1982,'United Kingdom',775.33473,0.0
1982,'United States',3462.490652,0.0
1983,'Australia',7.388539,0.0
1983,'Austria',17.235616,0.0
1983,'Belgium',46.243316,0.0
1983,'Brazil',0.0,129.429939
1983,'Canada',148.016945,0.0
1983,'Chile',0.0,33.869655
1983,'Colombia',0.0,110.714529
